variable,results,se,(lower,upper),missInfo,Beta,ll,ul,z,p.value,outcome,stars,Beta_round,p_value_round,Beta_star
(Intercept),-1.1166440939317077,0.08325476857483496,-1.2799553821491862,-0.9533328057142292,12 %,-1.1166440939317077,-1.2799553821491862,-0.9533328057142292,-13.412374006276808,0,efficacy,***,-1.12,0,-1.12***
time,-0.0012281481940355431,0.01569892822495381,-0.032013742438290714,0.029557446050219625,9 %,-0.0012281481940355431,-0.032013742438290714,0.029557446050219625,-0.07823134015501601,0.9376440325654092,efficacy,,-0,0.938,-0.00
math_level.L,-0.07389833226484713,0.033276831361577636,-0.13935474955014776,-0.00844191497954648,24 %,-0.07389833226484713,-0.13935474955014776,-0.00844191497954648,-2.2207142098923582,0.026370324375633913,efficacy,*,-0.07,0.026,-0.07*
math_level.Q,-0.011349228753737582,0.02640751355571947,-0.0632560463556235,0.040557588848148335,22 %,-0.011349228753737582,-0.0632560463556235,0.040557588848148335,-0.4297727133526174,0.6673609837587668,efficacy,,-0.01,0.667,-0.01
math_level.C,0.0032662698271493777,0.021219048118617308,-0.038366652442284786,0.044899192096583544,13 %,0.0032662698271493777,-0.038366652442284786,0.044899192096583544,0.1539310250342284,0.8776641211942444,efficacy,,0,0.878,0.00
teach_treat_std,0.3617548109868761,0.00972510184050283,0.34263610407355466,0.3808735179001976,22 %,0.3617548109868761,0.34263610407355466,0.3808735179001976,37.1980486086274,0,efficacy,***,0.36,0,0.36***
ses,0.01593534766879237,0.012740972208007694,-0.009056582478528936,0.040927277816113675,11 %,0.01593534766879237,-0.009056582478528936,0.040927277816113675,1.2507167748766468,0.2110378280684566,efficacy,,0.02,0.211,0.02
first_langEnglish only,-0.0267473791670434,0.041958874301162186,-0.10907047591826607,0.055575717584179264,13 %,-0.0267473791670434,-0.10907047591826607,0.055575717584179264,-0.6374665577313295,0.5238209865715633,efficacy,,-0.03,0.524,-0.03
first_langnon-English only,-0.022910625241470025,0.04562134886142767,-0.11242676830007585,0.06660551781713579,13 %,-0.022910625241470025,-0.11242676830007585,0.06660551781713579,-0.502190878026421,0.6155332589474583,efficacy,,-0.02,0.616,-0.02
female,-0.19726614740506426,0.016977027625264075,-0.23056811339411498,-0.16396418141601354,12 %,-0.19726614740506426,-0.23056811339411498,-0.16396418141601354,-11.61959276731729,0,efficacy,***,-0.2,0,-0.20***
"relevel(factor(race_ethnicity), ref = ""Asian"")Another Race",0.14575697726515505,0.10137968168634251,-0.05296613478763976,0.3444800893179498,4 %,0.14575697726515505,-0.05296613478763976,0.3444800893179498,1.4377336251272812,0.1505096485868862,efficacy,,0.15,0.151,0.15
"relevel(factor(race_ethnicity), ref = ""Asian"")Black",0.3057268659923058,0.052892757551032336,0.2020387730312017,0.4094149589534099,6 %,0.3057268659923058,0.2020387730312017,0.4094149589534099,5.780127188440353,7.464417306479731e-9,efficacy,***,0.31,0,0.31***
"relevel(factor(race_ethnicity), ref = ""Asian"")Latinx",0.03701722787441687,0.04608599124390928,-0.05331646562210057,0.12735092137093432,3 %,0.03701722787441687,-0.05331646562210057,0.12735092137093432,0.8032208242739938,0.42184711129387176,efficacy,,0.04,0.422,0.04
"relevel(factor(race_ethnicity), ref = ""Asian"")Multiple",0.04180480351292804,0.052570870374721954,-0.06124857345025409,0.14485818047611018,5 %,0.04180480351292804,-0.06124857345025409,0.14485818047611018,0.7952085102442846,0.4264922222110452,efficacy,,0.04,0.426,0.04
"relevel(factor(race_ethnicity), ref = ""Asian"")White",0.009595811148575186,0.044591526657401556,-0.07781178325404697,0.09700340555119735,4 %,0.009595811148575186,-0.07781178325404697,0.09700340555119735,0.21519359994781473,0.8296163805478345,efficacy,,0.01,0.83,0.01
math_score,0.024222540956087835,0.001075725716682521,0.022111768802536593,0.026333313109639076,13 %,0.024222540956087835,0.022111768802536593,0.026333313109639076,22.51739507612481,0,efficacy,***,0.02,0,0.02***
early_algebra,0.041990427734673076,0.021775394588957064,-7.117259376384771e-4,0.08469258140698463,9 %,0.041990427734673076,-7.117259376384771e-4,0.08469258140698463,1.9283429084664048,0.05381248801541316,efficacy,.,0.04,0.054,0.04.
public,-0.02571194006113901,0.020446075154317053,-0.06578807372926597,0.014364193606987947,3 %,-0.02571194006113901,-0.06578807372926597,0.014364193606987947,-1.2575489362666312,0.2085549305543286,efficacy,,-0.03,0.209,-0.03
urban,4.226261649492698e-4,0.02006634262705319,-0.03891873235543952,0.039763984685338066,7 %,4.226261649492698e-4,-0.03891873235543952,0.039763984685338066,0.02106144466901958,0.9831966407643837,efficacy,,0,0.983,0.00
time:math_level.L,0.01078485191224257,0.041388967524964154,-0.07060819284237267,0.09217789666685781,23 %,0.01078485191224257,-0.07060819284237267,0.09217789666685781,0.260573108177622,0.7944217299698293,efficacy,,0.01,0.794,0.01
time:math_level.Q,0.06566192834506077,0.03325625191367524,4.6266143151532657e-4,0.1308611952586062,7 %,0.06566192834506077,4.6266143151532657e-4,0.1308611952586062,1.974423591555128,0.048333597706549325,efficacy,*,0.07,0.048,0.07*
time:math_level.C,-0.036800030897768884,0.028302170424172504,-0.09233944036228772,0.018739378566749947,14 %,-0.036800030897768884,-0.09233944036228772,0.018739378566749947,-1.3002547276847174,0.1935136789764902,efficacy,,-0.04,0.194,-0.04
math_level.L:teach_treat_std,-0.004334178104219598,0.022481892465329768,-0.04858736514542504,0.03991900893698584,26 %,-0.004334178104219598,-0.04858736514542504,0.03991900893698584,-0.19278528757770322,0.8471271261575872,efficacy,,-0,0.847,-0.00
math_level.Q:teach_treat_std,0.01875329519662698,0.018442218629876144,-0.017442685488714697,0.05494927588196866,15 %,0.01875329519662698,-0.017442685488714697,0.05494927588196866,1.0168676325226345,0.30921640287572605,efficacy,,0.02,0.309,0.02
math_level.C:teach_treat_std,0.009565163135995702,0.0163013372033066,-0.02249384551939984,0.041624171791391246,24 %,0.009565163135995702,-0.02249384551939984,0.041624171791391246,0.5867716872978668,0.5573570543308732,efficacy,,0.01,0.557,0.01
(Intercept),-1.4630823658521617,0.0827617678981759,-1.625302581202102,-1.3008621505022213,3 %,-1.4630823658521617,-1.625302581202102,-1.3008621505022213,-17.678239639011007,0,identity,***,-1.46,0,-1.46***
time,-0.0027680186483133077,0.014861515896424662,-0.03193518904672735,0.026399151750100734,15 %,-0.0027680186483133077,-0.03193518904672735,0.026399151750100734,-0.1862541255955746,0.8522454803824364,identity,,-0,0.852,-0.00
math_level.L,0.05250359851914005,0.031510617349824875,-0.009341780546333896,0.11434897758461399,15 %,0.05250359851914005,-0.009341780546333896,0.11434897758461399,1.6662192916201892,0.09566974491308167,identity,.,0.05,0.096,0.05.
math_level.Q,-0.01996377580364954,0.025680503623347235,-0.07035434301372064,0.030426791406421558,14 %,-0.01996377580364954,-0.07035434301372064,0.030426791406421558,-0.7773903540388368,0.43692850169858066,identity,,-0.02,0.437,-0.02
math_level.C,-0.045397026486255564,0.020558298320121432,-0.0857115386493522,-0.0050825143231589265,9 %,-0.045397026486255564,-0.0857115386493522,-0.0050825143231589265,-2.2082093458982075,0.02722968320734731,identity,*,-0.05,0.027,-0.05*
teach_treat_std,0.21696576458036892,0.009521595086423936,0.19828880531532772,0.23564272384541013,11 %,0.21696576458036892,0.19828880531532772,0.23564272384541013,22.786703552404013,0,identity,***,0.22,0,0.22***
ses,-0.05202832743948731,0.01269402978756853,-0.07690942097130594,-0.027147233907668673,3 %,-0.05202832743948731,-0.07690942097130594,-0.027147233907668673,-4.0986454506700065,4.1557505119804716e-5,identity,***,-0.05,0,-0.05***
first_langEnglish only,-0.04850138504020128,0.04298505119644641,-0.13276441023909652,0.035761640158693944,5 %,-0.04850138504020128,-0.13276441023909652,0.035761640158693944,-1.1283314475663788,0.25917996716615654,identity,,-0.05,0.259,-0.05
first_langnon-English only,0.022514791624403813,0.04748384340004001,-0.07055585365035344,0.11558543689916106,3 %,0.022514791624403813,-0.07055585365035344,0.11558543689916106,0.4741568923712026,0.6353880309587341,identity,,0.02,0.635,0.02
female,-0.14463644341963783,0.018143157948355113,-0.18019731799071997,-0.10907556884855568,2 %,-0.14463644341963783,-0.18019731799071997,-0.10907556884855568,-7.971955258910745,1.5543122344752192e-15,identity,***,-0.14,0,-0.14***
"relevel(factor(race_ethnicity), ref = ""Asian"")Another Race",0.06259378641066318,0.08297018357266096,-0.10002936146898694,0.2252169342903133,2 %,0.06259378641066318,-0.10002936146898694,0.2252169342903133,0.7544130158015958,0.4506012584402366,identity,,0.06,0.451,0.06
"relevel(factor(race_ethnicity), ref = ""Asian"")Black",0.10898887503670221,0.05466117778206228,0.0018519894202124187,0.216125760653192,2 %,0.10898887503670221,0.0018519894202124187,0.216125760653192,1.9938991338834307,0.04616307863414648,identity,*,0.11,0.046,0.11*
"relevel(factor(race_ethnicity), ref = ""Asian"")Latinx",-0.11772684661485164,0.04814166840587103,-0.2120874398029327,-0.02336625342677058,3 %,-0.11772684661485164,-0.2120874398029327,-0.02336625342677058,-2.445425148591121,0.014468147734559178,identity,*,-0.12,0.014,-0.12*
"relevel(factor(race_ethnicity), ref = ""Asian"")Multiple",-0.057341512163916364,0.05922653910483357,-0.1734264633120161,0.05874343898418337,2 %,-0.057341512163916364,-0.1734264633120161,0.05874343898418337,-0.9681725967883988,0.33295817822507146,identity,,-0.06,0.333,-0.06
"relevel(factor(race_ethnicity), ref = ""Asian"")White",-0.1184822563815783,0.04647838584648915,-0.2095865996185245,-0.02737791314463213,4 %,-0.1184822563815783,-0.2095865996185245,-0.02737791314463213,-2.549190429566696,0.01079733241268066,identity,*,-0.12,0.011,-0.12*
math_score,0.032480251030206526,0.0010992620971118484,0.030325460437751684,0.034635041622661365,5 %,0.032480251030206526,0.030325460437751684,0.034635041622661365,29.54732189488173,0,identity,***,0.03,0,0.03***
early_algebra,0.09463138325131336,0.02189902845425958,0.05170722866900832,0.1375555378336184,3 %,0.09463138325131336,0.05170722866900832,0.1375555378336184,4.321259431621343,1.5514113533399154e-5,identity,***,0.09,0,0.09***
public,0.03209938825215529,0.022795580404132536,-0.012579449592300167,0.07677822609661075,1 %,0.03209938825215529,-0.012579449592300167,0.07677822609661075,1.4081408625303569,0.15908936328693235,identity,,0.03,0.159,0.03
urban,0.0033420960208199535,0.022369330155791334,-0.04050231994298295,0.047186511984622856,2 %,0.0033420960208199535,-0.04050231994298295,0.047186511984622856,0.1494052793509643,0.8812338461685596,identity,,0,0.881,0.00
time:math_level.L,0.11632783458450405,0.039637504838570994,0.038540375997868526,0.19411529317113957,14 %,0.11632783458450405,0.038540375997868526,0.19411529317113957,2.934792062675605,0.003337712766612766,identity,**,0.12,0.003,0.12**
time:math_level.Q,0.0058286971823980314,0.03576692855755865,-0.06447469730147573,0.0761320916662718,22 %,0.0058286971823980314,-0.06447469730147573,0.0761320916662718,0.16296331324670732,0.870547320261726,identity,,0.01,0.871,0.01
time:math_level.C,-0.0159901653920315,0.026738748516028425,-0.06843745937062665,0.036457128586563636,11 %,-0.0159901653920315,-0.06843745937062665,0.036457128586563636,-0.5980147269213542,0.5498301066144737,identity,,-0.02,0.55,-0.02
math_level.L:teach_treat_std,-0.02088340402847328,0.023406098642463277,-0.06688349007324453,0.025116682016297964,21 %,-0.02088340402847328,-0.06688349007324453,0.025116682016297964,-0.8922206279429528,0.37227468771832184,identity,,-0.02,0.372,-0.02
